Feature,SCR_Importance,EM_Importance,Combined_Importance
ZSK1,0.010468369722366333,-0.0006165467202663422,0.004925911501049996
ZSK2,0.00022608786821365356,4.4232606887817384e-05,0.00013516023755073548
ZSK3,-1.4522671699523926e-05,1.9715726375579833e-05,2.596527338027954e-06
Vola4,0.0005264744162559509,0.001120917871594429,0.00082369614392519
Vola5,-3.7369132041931155e-05,7.318630814552307e-05,1.790858805179596e-05
Vola6,-0.00047908276319503785,0.002933789789676666,0.0012273535132408143
Verlust7,0.0004178568720817566,0.00042793527245521545,0.00042289607226848603
Verlust8,0.0003519073128700256,0.0002879370003938675,0.00031992215663194655
MR9,1.0366737842559815e-05,5.4676085710525514e-06,7.917173206806183e-06
MR10,-1.1830031871795654e-05,-5.793198943138122e-06,-8.811615407466888e-06
MR11,7.456690073013306e-05,-9.113550186157227e-06,3.2726675271987915e-05
MR12,1.5690922737121582e-06,-8.896365761756897e-06,-3.6636367440223696e-06
MR13,-1.4983117580413818e-05,-5.199052393436432e-05,-3.3486820757389066e-05
MR14,2.86102294921875e-06,-3.526359796524048e-05,-1.6201287508010864e-05
MR15,-2.7805566787719726e-06,3.427267074584961e-07,-1.2189149856567382e-06
MR16,0.00011553168296813965,0.00012171491980552673,0.0001186233013868332
MR17,4.412531852722168e-05,1.5473738312721252e-05,2.9799528419971466e-05
MR18,1.6649067401885986e-05,6.425008177757263e-06,1.1537037789821624e-05
MR19,4.526078701019287e-05,-0.00013024806976318358,-4.249364137649536e-05
MR20,2.8042495250701906e-05,-8.547306060791016e-06,9.747594594955444e-06
