Feature,Total_Importance,SCR_Importance,EM_Importance
ZSK1,0.41307375,0.5802588,0.2458887
Vola6,0.15091716,0.067297705,0.2345366
Vola4,0.06721809,0.037704233,0.09673194
Verlust8,0.046384513,0.05339457,0.039374452
MR15,0.044579763,0.03383468,0.055324845
Verlust7,0.04087217,0.05030923,0.031435113
MR11,0.032631505,0.030710468,0.034552544
MR16,0.025766404,0.016320568,0.03521224
ZSK2,0.023564458,0.018768284,0.02836063
MR10,0.022911305,0.013403632,0.032418977
MR20,0.022297986,0.018896196,0.025699776
MR18,0.016241798,0.01126405,0.021219546
MR9,0.016206091,0.008628427,0.023783755
MR17,0.014034787,0.015232822,0.0128367515
Vola5,0.01335488,0.008405898,0.018303862
MR12,0.0116176065,0.0056714625,0.017563751
MR14,0.010871658,0.008870149,0.012873168
MR19,0.010819686,0.0051114466,0.016527925
ZSK3,0.009131812,0.00866321,0.009600412
MR13,0.007504599,0.0072540925,0.0077551063
